Year,Scenario,Total_Fuel,SAF_Share,CO2_Emissions,Avoided_CO2
2026,0,39.702,1,124.4546534,1.00366656
2026,1,39.781404,2,123.6978889,2.011347786
2027,0,40.43253009,1.5,126.2335936,1.533201541
2027,1,40.59426022,4,124.1729707,4.104891593
2028,0,41.15870657,2,127.9805286,2.080984204
2028,1,41.40565881,6,124.5614715,6.280410328
2029,0,41.89972618,2.5,129.755072,2.648062695
2029,1,42.23492399,8,124.9207688,8.541591029
2030,0,42.65390476,3,131.5514669,3.234872137
2030,1,43.08044381,10,125.2434663,10.8907362
2031,0,43.42167672,4,132.8216985,4.39079995
2031,1,44.02958019,14,123.5505244,15.58294902
2032,0,44.20326673,5,134.09503,5.587292915
2032,1,44.99892553,18,121.7202936,20.47631107
2033,0,44.99892555,6,135.3711677,6.825437027
2033,1,45.98890191,22,119.7477424,25.57718769
2034,0,45.80890621,7,136.6497996,8.106344043
2034,1,46.99993777,26,117.6276843,30.8921191
2035,0,46.63346652,8,137.9306019,9.431152269
2035,1,48.03247052,30,115.3547812,36.42782564
2036,0,47.47286892,8.8,139.4532615,10.56100431
2036,1,49.0236493,32.66666667,114.4303486,40.48438324
2037,0,48.32738056,9.6,140.9860472,11.72847533
2037,1,50.034948,35.33333333,113.4178859,44.69254982
2038,0,49.19727341,10.4,142.5288304,12.93455355
2038,1,51.0667698,38,112.3142108,49.05678174
2039,0,50.08282433,11.2,144.0814743,14.18025055
2039,1,52.11952585,40.66666667,111.1160494,53.58165228
2040,0,50.98431517,12,145.6438341,15.46660185
2040,1,53.19363549,43.33333333,109.8200336,58.27185456
2041,0,51.90203284,12.8,147.2157564,16.79466739
2041,1,54.28952635,46,108.4226989,63.1322044
2042,0,52.83626943,13.6,148.7970793,18.16553212
2042,1,55.40763454,48.66666667,106.9204818,68.1676434
2043,0,53.78732228,14.4,150.3876319,19.5803065
2043,1,56.54840483,51.33333333,105.3097173,73.38324193
2044,0,54.75549408,15.2,151.9872342,21.04012713
2044,1,57.71229076,54,103.5866364,78.78420237
2045,0,55.74109298,16,153.5956965,22.54615729
2045,1,58.89975491,56.66666667,101.7473633,84.37586224
2046,0,56.74443265,16.8,155.2128196,24.09958752
2046,1,60.11126899,59.33333333,99.78791245,90.16369755
2047,0,57.76583244,17.6,156.8383942,25.70163629
2047,1,61.34731405,62,97.70418625,96.15332615
2048,0,58.80561742,18.4,158.4722005,27.35355055
2048,1,62.60838068,64.66666667,95.49197177,102.3505112
2049,0,59.86411853,19.2,160.1140082,29.0566064
2049,1,63.89496918,67.33333333,93.14693801,108.7611646
2050,0,60.94167267,20,161.7635759,30.8121097
2050,1,65.20758976,70,90.6646328,115.3913508
